index,profile1,KBH,Kalundborg,Vordingborg,Ronne,Helsingor,Hillerod,Naestved,Slagelse,Nykobing_F,DTU,Odense,Arhus,Alborg,TVIS,Esbjerg,Herning,Randers,Thisted,Svendborg,Frederikshavn,Hjorring,Holstebro_Struer,Horsens,Silkeborg,Sonderborg,Viborg,Bronderslev,Grena,NG_DK_West,BIO_DK_West,OVR_DK_West,NG_DK_East,BIO_DK_East,OVR_DK_East
t0200,160.2333846199011,1545.9128478200626,105.4716627303713,17.077357352966366,25.23783995347198,91.32962292910862,53.35009499036231,35.74036743585099,29.64329037349701,37.70428733377211,17.56362500604978,418.955926274574,498.70913798386414,299.52087899234516,278.50189449012856,186.04946364163482,126.6256076296491,89.25895988506538,32.87113469110545,28.62533014285639,35.37409412244137,54.15135826891339,85.02689913511024,48.60588765028513,63.05118911326903,52.6532155925832,50.62790683093801,20.123812617833078,38.54501703518996,362.65446435684123,513.7906120398633,215.32201216297906,78.22824318614079,201.45018994614625,27.473435416274537
t0201,160.8164562216089,1551.5382540512128,105.85546247016251,17.13949997154957,25.329677667567722,91.66196134691691,53.544230097793786,35.870422688293424,29.751159035442615,37.841489073965654,17.627537098953297,420.48046065021214,500.5238854945676,300.6108024129436,279.51533214598425,186.72647710558763,127.08638424017244,89.58376338859502,32.99074912226635,28.72949455987474,35.50281654672181,54.34840908498026,85.33630263666242,48.78275911082321,63.2806254315061,52.84481483280059,50.81213619610465,20.197040950888525,38.68527809797581,363.9741239265409,515.6602393701176,216.1055452001962,78.51290712906085,202.18324495334636,27.57340821551723
t0202,162.3958394641663,1566.7759578049781,106.89507214374065,17.30782751511623,25.578441192069278,92.56217622002524,54.07008958841431,36.22270718596493,30.04334606114406,38.21313147376137,17.80065766979389,424.61001187262326,505.4395455944301,303.56311012459025,282.2604606110767,188.5603234407907,128.33450343358103,90.46356821718919,33.314752259428644,29.0116477881021,35.851490773445306,54.88216644156687,86.17439302574813,49.26185605199182,63.902106352882384,53.363805345114585,51.311163710528206,20.395396696168234,39.06520737509793,367.54872472026767,520.7245540556247,218.22792424480457,79.28398474610042,204.16889266943056,27.844207485063198
t0203,163.8264800972535,1580.5786103579983,107.8367738165804,17.460302365428227,25.803776751287714,93.37761096776435,54.5464248655685,36.54181435590013,30.308015598065644,38.549773464001085,17.957474151312812,428.3506516464313,509.89226035536507,306.23737642034956,284.7470593158004,190.22146242928054,129.46507768871555,91.26051509053642,33.60824154105577,29.26722848706226,36.16732767928278,55.36565578219425,86.933554027662,49.69583276692375,64.46505765871596,53.833918548228525,51.76319398407144,20.57507176258463,39.40935580399364,370.7866779951742,525.3119234619854,220.15042260885767,79.98244408166649,205.9675367407878,28.0895035145408
t0204,164.1339902948005,1583.5454325739258,108.03918863742916,17.493076194338155,25.852211683671886,93.55288524319357,54.64881113350233,36.61040510230839,30.364905203813663,38.62213324641397,17.99118119562236,429.1546864607604,510.84935269853503,306.812198732734,285.2815432674128,190.57851728057554,129.70808987814831,91.43181547498631,33.67132582992874,29.322164485249896,36.235215496153415,55.46957978603536,87.09673249769102,49.78911423975004,64.58606167835761,53.934967407470744,51.86035599352349,20.613692163746276,39.4833290638799,371.4826624570903,526.297959255843,220.56365556061442,80.1325749833696,206.354147732331,28.14222886620328
t0205,163.8260025825575,1580.5740033523775,107.83645949838083,17.46025147285597,25.803701539498974,93.37733879453883,54.54626587588947,36.54170784532038,30.307927257506496,38.54966110070459,17.957421809604654,428.3494031075438,509.8907741423453,306.23648381222165,284.7462293467662,190.22090797957404,129.46470032922412,91.26024908813501,33.60814358113358,29.26714318014664,36.16722226024141,55.36549440465459,86.933300637309,49.69568791555135,64.46486975861342,53.833761635333644,51.763043106839476,20.575011791210454,39.409240935221845,370.785597241393,525.310392304365,220.1497809234472,79.98221095212328,205.9669363950706,28.08942164040956
t0206,161.9601498012939,1562.5724751843336,106.60828475990928,17.261392572201462,25.509817128444585,92.31384237424997,53.92502565585307,36.12552576103279,29.962743162940953,38.110609965673255,17.752900519335792,423.47083125361576,504.0835084819707,302.7486846470222,281.5031877318477,188.05443742781097,127.99019648138099,90.22086469923683,33.225372548541465,28.93381281963322,35.75530528014637,54.73492379869172,85.94319687953217,49.12969206597729,63.73066423179364,53.22063629326501,51.173501663936406,20.34067815448624,38.960399843775356,366.56263307844404,519.3275089948986,217.64244341563258,79.07127478567787,203.62113063125472,27.769504626836383
t0207,158.7500341683046,1531.6016571379062,104.49526546513937,16.91926479440444,25.004202241948203,90.48414470534523,52.856209850980186,35.409503238593,29.36886948257818,37.355242271930926,17.401030855360165,415.0774682122132,494.09236959443956,296.74808334698196,275.9236807680482,184.32712246681183,125.45337905377096,88.43265069382771,32.56683223500865,28.360332954566136,35.04662067728003,53.650055485268766,84.2397679793333,48.15592171111877,62.46749670692859,52.16578177027121,50.15922217674311,19.93751769180804,38.188188971165886,359.2972135270388,509.03422785561065,213.32868221654945,77.50405015899462,199.58527751894098,27.21910182076128
t0208,152.4062511565032,1470.3975848093457,100.31954800249846,16.243156942603157,24.005013585157432,86.86832324724973,50.74403187333409,33.99451012518577,28.195265103369863,35.86249581321102,16.70567123224957,398.4906283716968,474.3480287701041,284.8897838525364,264.89754166968237,176.96125779632308,120.44015799222053,84.89880863767223,31.265434612242764,27.227030531364964,33.64612865195002,51.506154777765154,80.87347699347546,46.231571145343416,59.97124373617935,50.081193871280654,48.15481806308701,19.140797951283826,36.66215727160792,344.9393989205618,488.6927979843433,204.80389116837517,74.40692404295754,191.6096843194586,26.131403940054224
t0209,144.6678820249804,1395.7387096319098,95.2258613088098,15.418416859244989,22.78616819843891,82.45761734757261,48.167523056419576,32.26845187102766,26.763661297913295,34.041591299948365,15.857447162672145,378.2574190748806,450.2631889713487,270.4246140020765,251.4474702722305,167.9761175910154,114.32485501921016,80.58810408927293,29.677944123820627,25.844588466107503,31.937759333895414,48.890949461767946,76.76715712026648,43.8841807966001,56.92622676485758,47.53834040049117,45.709775587428766,18.168931253592866,34.80065025353742,327.42523282437014,463.87960801330854,194.4050518989435,70.62894092339168,181.8807758581126,24.804591896069105
