index,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
DK-West,20.78080540935092,20.96619775076601,20.90137514242557,21.03745447389084,21.26649509366777,21.35294517068127,21.69486351269436,21.8688244008057,21.77380357409859,20.65965565346136,21.27177364262722,20.86097626182663,20.61439841064038,20.52146297664907,20.27105690766555,20.46054906296411,20.18438687378516,20.16558021631607,20.90244317881747,21.83104924640121,22.69190132431762,23.71391241515223,24.70291589125782,25.67625227623591,26.37772838190555,26.73900084773582,27.01482187151752,27.5028106236295,27.69945287761536,27.87874880170184,28.11916652746722,28.30403675867857,28.59717247111176,28.88971282402975,29.18119815066125,29.5630810326001
DK-East,14.32839736842684,14.62023558256733,14.35944430201888,14.16567330388694,14.26739379522112,14.42528816265206,14.54515037619452,14.53613115474985,14.53145198145697,14.13673323542753,14.46734580181724,14.00682096039559,13.82416547824852,13.7147536900176,13.39791253677889,13.35885649259144,13.17854798559251,13.16626896817896,13.15778570984545,13.27449306181063,13.34696329081391,13.62665282142474,13.8847914157938,14.13270084078013,14.37140603910382,14.48357932210566,14.58325721567505,14.84511049149105,14.93117986706042,15.01542407686403,15.14617478158756,15.24543594042855,15.41895818263865,15.59483638788902,15.77218048386777,16.01026902353653
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
